lines,point1,point2
0,"(184, 96)","(191, 334)"
1,"(372, 119)","(187, 104)"
2,"(216, 117)","(373, 305)"
3,"(221, 327)","(373, 119)"
4,"(461, 29)","(638, 79)"
5,"(463, 592)","(461, 30)"
6,"(577, 104)","(576, 302)"
7,"(615, 293)","(577, 302)"
8,"(692, 29)","(763, 59)"
9,"(755, 409)","(763, 58)"
